City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
358,Rincon,US,82.31,broken clouds,32.296,-81.2354,Days Inn Rincon
363,Kibala,TD,78.75,thunderstorm,9.1104,18.3463,hotel safari
364,Adrar,MR,86.31,few clouds,20.5022,-10.0711,
365,Katherine,AU,82.72,clear sky,-14.4667,132.2667,Pine Tree Motel
366,Maturin,VE,82.09,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
369,Jalingo,NG,80.22,overcast clouds,8.8833,11.3667,Debright Motel
372,Atar,MR,88.74,broken clouds,20.5169,-13.0499,Oumou Elghoura
373,Sao Filipe,CV,79.63,scattered clouds,14.8961,-24.4956,Hotel Xaguate
375,Toamasina,MG,78.8,broken clouds,-18.1667,49.3833,Hotel H1
379,Latung,PH,81.75,broken clouds,5.5,120.8833,
380,Padang,ID,75.81,light rain,-0.9492,100.3543,Mercure Padang
381,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
394,Souillac,MU,75.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
397,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
401,Kandrian,PG,76.08,light rain,-6.2167,149.55,Kandrian Station
403,San Rafael,AR,83.95,clear sky,-34.6177,-68.3301,Hotel San Rafael
404,Mandera,KE,87.48,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
406,Mandiana,GN,78.39,broken clouds,10.6333,-8.6833,Motels rouzo
407,Nsanje,MW,83.8,clear sky,-16.92,35.262,Nsanje Discovery Lodge
412,Olutanga,PH,81.18,overcast clouds,7.3106,122.8464,Morales Lodge
414,Caruray,PH,76.75,broken clouds,10.3094,119.0128,
415,Presidencia Roque Saenz Pena,AR,82.36,clear sky,-26.7852,-60.4388,Hotel Aconcagua
422,Santa Fe,AR,82.0,clear sky,-31.6333,-60.7,Conquistador Hotel
432,Salalah,OM,76.96,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
436,Buraydah,SA,79.25,clear sky,26.326,43.975,فندق راحة السلام
440,Llano De Piedra,PA,77.9,overcast clouds,7.6667,-80.5667,
444,Lahad Datu,MY,76.06,overcast clouds,5.0268,118.327,The 27th House
446,Lompoc,US,76.08,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
448,Micheweni,TZ,77.58,clear sky,-4.9667,39.8333,
450,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
455,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
458,Port Antonio,JM,87.71,few clouds,18.18,-76.4612,The Trident Hotel
466,Karratha,AU,75.31,clear sky,-20.7377,116.8463,ibis Styles Karratha
468,Bubaque,GW,82.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
472,Tual,ID,79.79,moderate rain,-5.6667,132.75,Grand Vilia Hotel
473,Jupiter,US,84.06,overcast clouds,26.9342,-80.0942,Jupiter Beach Resort & Spa
474,Valente,BR,80.69,overcast clouds,-11.4122,-39.4619,Bel Pousada E Restaurante
475,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
477,Manati,PR,87.87,scattered clouds,18.4275,-66.4921,Manati World Point Inn
483,Sabang,ID,81.05,heavy intensity rain,5.8933,95.3214,Hotel Citra
485,Zabid,YE,86.67,broken clouds,14.1951,43.3152,دار الضيافة
486,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
488,Sur,OM,81.32,clear sky,22.5667,59.5289,Sur Plaza Hotel
490,Butterworth,MY,78.84,few clouds,5.3991,100.3638,Cititel Penang
497,Pandan,PH,78.89,moderate rain,14.0453,124.1694,Bonifacio Lodge
498,Luwingu,ZM,78.04,overcast clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
499,San Juan,AR,86.47,clear sky,-31.5375,-68.5364,Hotel Provincial
501,Bull Savanna,JM,83.43,scattered clouds,17.8868,-77.5902,Big Red's
502,Leo,BF,79.41,broken clouds,11.1,-2.1,Hotel Sissilis
503,Marsabit,KE,76.44,scattered clouds,2.3284,37.9899,Chicho Hotel
504,Kalmunai,LK,78.1,heavy intensity rain,7.4167,81.8167,VS Villa
505,Acapulco,MX,75.69,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
506,Fort Stewart,US,82.42,clear sky,31.8722,-81.61,"Holiday Inn Express & Suites Hinesville East - Fort Stewart, an IHG Hotel"
507,Buduran,ID,80.56,haze,-7.4281,112.7234,Hotel Edotel
513,Antalaha,MG,75.24,light rain,-14.9003,50.2788,Hotel Vitasoa
514,Santiago Del Estero,AR,86.81,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
516,Cap Malheureux,MU,75.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
517,Avera,US,80.47,overcast clouds,33.194,-82.5271,
518,Dicabisagan,PH,76.41,light rain,17.0818,122.4157,Nancy Montanes Bernardo
519,Baracoa,CU,82.85,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
520,Sibi,PK,75.2,few clouds,29.5448,67.8764,Jail Superintendent House
