City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Yerazgavors,AM,40.7,43.75,38.17,56,44,0.0,scattered clouds
257,Conde,BR,-7.2597,-34.9075,83.66,65,20,11.5,few clouds
258,Carupano,VE,10.6678,-63.2585,83.62,70,100,14.7,overcast clouds
259,Broome,US,42.2506,-75.833,55.06,77,90,1.99,overcast clouds
260,Sioux Lookout,CA,50.1001,-91.917,37.47,75,75,3.44,broken clouds
261,San Policarpo,PH,12.1791,125.5072,80.44,81,100,5.37,overcast clouds
262,Bhatkal,IN,13.9667,74.5667,75.76,87,50,4.76,scattered clouds
263,Allapalli,IN,19.4167,80.0667,67.21,82,8,2.28,clear sky
264,Broken Hill,AU,-31.95,141.4333,49.71,46,0,6.91,clear sky
265,Fukue,JP,32.6881,128.8419,63.79,56,100,3.51,light rain
266,Makakilo City,US,21.3469,-158.0858,78.69,83,90,5.75,light rain
267,Flinders,AU,-34.5833,150.8552,56.8,86,3,1.01,clear sky
268,Touros,BR,-5.1989,-35.4608,85.1,71,48,14.29,scattered clouds
269,Kandalaksha,RU,67.162,32.4123,18.5,91,100,3.49,overcast clouds
270,Charlestown,AU,-32.95,151.6667,58.21,83,51,1.99,broken clouds
271,Cairns,AU,-16.9167,145.7667,70.07,89,10,1.14,clear sky
272,Lom Sak,TH,16.7798,101.2422,70.52,92,43,4.14,scattered clouds
273,Severnyy,RU,50.677,36.5532,41.04,70,0,8.95,clear sky
274,Fortuna,US,40.5982,-124.1573,56.93,74,75,5.01,broken clouds
275,Ust-Kuyga,RU,70.0167,135.6,3.61,97,100,1.83,overcast clouds
276,Virden,US,39.5009,-89.7679,76.5,71,92,17.36,overcast clouds
277,Hervey Bay,AU,-25.2986,152.8535,76.03,91,15,12.95,few clouds
278,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.75,72,83,9.6,broken clouds
279,San Felipe,VE,10.3399,-68.7425,79.07,86,100,5.59,overcast clouds
